iter	Passed	Remaining
0	1	163
1	3	154
2	5	177
3	10	263
4	19	361
5	24	376
6	26	356
7	30	345
8	33	337
9	35	320
10	38	308
11	40	295
12	42	287
13	45	281
14	48	273
15	51	268
16	53	262
17	55	254
18	58	250
19	59	239
20	60	229
21	61	219
22	62	210
23	63	202
24	64	194
25	65	187
26	66	180
27	67	174
28	68	168
29	69	163
30	70	157
31	71	152
32	72	147
33	73	142
34	74	138
35	75	134
36	76	130
37	77	126
38	78	122
39	79	119
40	80	115
41	80	111
42	82	108
43	82	105
44	83	102
45	84	99
46	85	96
47	86	94
48	87	91
49	88	88
50	89	86
51	90	83
52	91	81
53	92	79
54	93	76
55	94	74
56	95	71
57	96	69
58	97	67
59	98	65
60	99	63
61	100	61
62	101	59
63	102	57
64	103	55
65	104	53
66	105	51
67	106	50
68	107	48
69	108	46
70	109	44
71	110	42
72	111	41
73	112	39
74	113	37
75	114	36
76	115	34
77	116	32
78	117	31
79	118	29
80	119	27
81	120	26
82	121	24
83	122	23
84	122	21
85	123	20
86	124	18
87	125	17
88	127	15
89	127	14
90	129	12
91	129	11
92	131	9
93	131	8
94	132	6
95	133	5
96	134	4
97	135	2
98	136	1
99	137	0
